# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=3
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/height (cm) - 6a_skewnormal_uni - draws_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_raw.14,theta_raw.15,theta_raw.16,theta_raw.17,theta_raw.18,theta_raw.19,theta_raw.20,theta_raw.21,theta_raw.22,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.138727
# Diagonal elements of inverse mass matrix:
# 0.00530015, 1.22679, 0.382681, 0.332612, 0.397114, 0.320378, 0.325562, 0.338861, 0.390368, 0.354349, 0.372826, 0.384131, 0.31871, 0.286285, 0.348965, 0.40364, 0.372734, 0.356471, 0.423726, 0.323336, 0.467626, 0.2631, 0.28905, 0.499521, 0.396401, 30.723
-7.34173,0.972124,0.138727,5,31,0,19.153,-0.152747,0.335585,1.44914,1.20182,0.39181,0.60957,0.361,0.660307,0.940287,0.405247,1.42805,0.596599,0.651463,0.104035,0.74155,0.6058,0.717762,0.345994,1.81822,0.489095,1.12997,0.815454,0.575347,0.129637,0.810815,11.7761,0.333564,0.250565,-0.0212619,0.0518151,-0.0316011,0.0688416,0.162799,-0.0167526,0.326484,0.0474622,0.0658739,-0.117835,0.0961058,0.05055,0.0881227,-0.0366369,0.457421,0.0113856,0.226453,0.120907,0.0403304,-0.109243,0.11935,0.114051
-13.7159,0.316097,0.138727,5,31,0,21.4928,-0.0198578,0.281972,1.39117,-0.480008,1.60298,-0.139343,0.340106,0.102987,1.78577,1.46634,-0.458653,0.980688,0.788213,0.946334,0.850651,0.845608,0.783081,0.110766,0.985441,-0.0221289,0.92291,0.00693502,0.563533,1.52181,1.15638,3.08247,0.372414,-0.155206,0.432138,-0.0591485,0.0760425,0.00918152,0.483677,0.393609,-0.149185,0.256668,0.202396,0.246982,0.220002,0.21858,0.200949,0.0113751,0.258009,-0.0260975,0.240377,-0.0179023,0.139043,0.40925,0.306209,0.194143
-16.8654,0.98778,0.138727,5,31,0,28.3449,0.0144327,0.0832829,0.817085,0.579089,2.86371,0.444572,0.331366,-0.00522374,1.40452,1.0315,0.0122395,-0.227909,0.737789,-0.561074,1.45599,0.0397979,0.453278,0.234266,2.27579,-0.037688,1.2127,0.82223,0.584336,0.882201,0.654116,1.41258,0.0824819,0.0626609,0.25293,0.051458,0.0420299,0.0139977,0.131405,0.100339,0.0154521,-0.00454814,0.0758779,-0.0322951,0.135692,0.0177472,0.052183,0.0339431,0.203967,0.011294,0.115429,0.0829104,0.0630979,0.0879049,0.0689094,0.0686681
-16.2164,0.0876018,0.138727,4,15,0,26.7688,-0.0182517,0.104515,0.915451,0.717836,2.69361,0.128756,0.389713,-0.0848204,1.34846,0.798705,0.0841533,-0.22047,0.670885,-0.362508,1.47752,0.138043,0.371244,0.220331,2.28223,-0.177464,1.28481,0.773242,0.693447,0.733353,0.680662,4.48705,0.0774268,0.056773,0.263271,-0.00479471,0.0224792,-0.0271167,0.122682,0.0652251,-0.00945637,-0.0412941,0.051866,-0.0561392,0.136171,-0.00382411,0.020549,0.00477628,0.220276,-0.0367993,0.11603,0.0625638,0.054224,0.0583948,0.0528878,0.0631425
-10.7273,0.976487,0.138727,5,31,0,26.7597,-0.0644725,0.172059,2.25825,0.834662,0.802188,0.630435,0.191318,0.778664,0.46608,0.119249,0.893418,1.83868,0.698233,1.78026,0.990423,1.4536,0.390108,0.721561,0.667602,0.96341,1.3126,0.546175,1.09198,1.31645,0.514225,6.7846,0.324081,0.0791388,0.0735515,0.0439997,-0.0315545,0.069504,0.0157209,-0.0439546,0.0892485,0.251889,0.0556651,0.241839,0.105939,0.185632,0.00264913,0.0596789,0.0503947,0.101291,0.161373,0.0295021,0.123413,0.162036,0.0240047,0.0713437
-11.8523,0.664329,0.138727,4,31,0,27.9401,-0.112335,0.18622,0.387068,0.646806,1.49172,0.903245,0.241554,-0.0836493,-0.0619803,0.151979,0.242883,1.7649,1.06148,1.28688,1.53159,1.6956,1.37091,0.179978,2.00393,0.838467,1.80417,1.0294,1.09192,1.36736,0.225346,3.21214,-0.0402553,0.00811322,0.165454,0.0558672,-0.0673528,-0.127912,-0.123877,-0.0840334,-0.0671053,0.216325,0.0853335,0.127308,0.172877,0.203421,0.142956,-0.0788196,0.260836,0.0438044,0.223638,0.0793597,0.0910021,0.142295,-0.070371,0.0295313
-10.4988,0.609571,0.138727,4,31,0,23.8088,-0.164961,0.306229,1.38709,0.356733,0.609584,0.11795,0.288268,0.809401,1.22924,1.44695,0.19547,0.399249,0.77196,1.23076,0.548464,0.587088,-0.0290259,0.60908,1.589,0.445356,1.16233,0.0883587,0.698953,1.35866,2.46626,21.7697,0.259806,-0.0557191,0.0217111,-0.128841,-0.0766853,0.082901,0.211469,0.278138,-0.105103,-0.0426996,0.0714354,0.211934,0.00299457,0.0148223,-0.17385,0.0215567,0.321636,-0.0285803,0.190979,-0.137903,0.0490784,0.251099,0.59028,0.079117
-9.92819,0.424258,0.138727,4,31,0,20.5487,-0.161268,0.269195,1.49372,0.332975,0.664806,0.178274,0.37724,0.731439,1.22755,1.56105,0.158349,0.370063,0.824118,1.32125,0.536246,0.572152,-0.0111242,0.675834,1.54052,0.440546,1.30178,0.191788,0.673605,1.37864,2.44177,20.0672,0.240835,-0.0716325,0.0176948,-0.113277,-0.0597166,0.035632,0.169184,0.258959,-0.118641,-0.0616486,0.0605808,0.194407,-0.0169128,-0.00724724,-0.164262,0.0206634,0.253433,-0.0426748,0.189164,-0.109639,0.0200634,0.209857,0.496045,0.0532529
-11.8003,0.489191,0.138727,5,31,0,27.8655,-0.230599,0.415283,1.78514,0.294298,0.590342,0.671041,0.276861,0.0529402,2.11224,0.481099,0.549424,0.290912,0.975493,0.737215,0.524467,0.447367,1.43496,1.07144,0.907141,0.181697,0.987942,1.00396,0.718701,2.99682,1.56094,1.78053,0.510739,-0.108383,0.0145594,0.0480723,-0.115624,-0.208614,0.646575,-0.0308074,-0.00243298,-0.109789,0.174506,0.0755533,-0.0127972,-0.0448157,0.365317,0.214352,0.146121,-0.155144,0.179676,0.186326,0.0678647,1.01393,0.417631,0.0583027
-9.01009,1,0.138727,4,15,0,26.5328,-0.144502,0.196134,-0.0664956,0.904979,1.51276,0.599498,0.504729,0.372832,1.23203,0.373167,0.16151,0.648357,0.801501,0.962827,1.60281,1.38353,1.19251,0.399638,0.178523,0.617343,1.91337,0.176743,0.930264,2.07043,1.47469,5.31245,-0.157544,0.0329952,0.152203,-0.02692,-0.0455073,-0.0713768,0.0971403,-0.0713112,-0.112824,-0.0173371,0.0126998,0.0443413,0.169863,0.126856,0.0893909,-0.0661193,-0.109487,-0.0234199,0.230776,-0.109837,0.0379545,0.261579,0.144735,0.00928958
