# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=7
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/weight (kg) - 5a_halfnormal_uni - draws_7.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.208613
# Diagonal elements of inverse mass matrix:
# 0.0381917, 0.540477, 0.0448642, 1.35584, 0.223656, 0.767044, 0.959934, 1.27236, 1.36069, 1.19477, 0.301974, 1.43947, 1.0543, 0.826095, 0.940771, 1.28825, 0.622101, 1.25967, 1.47637, 1.26412, 0.99207, 0.0988593, 0.346885, 0.959871, 0.178393, 0.828663, 0.549329, 1.15468, 1.13864
-63.6179,0.980219,0.208613,4,15,0,75.7193,0.225303,0.014502,0.734583,0.0309866,0.216762,0.199884,0.0292444,0.0837851,0.171487,0.144888,0.181094,0.165262,0.0142324,0.0876584,0.0283918,0.0157894,0.172548,0.230795,0.0415778,0.0256064,0.228473,0.488887,0.261139,0.0858365,0.0544426,0.124342,0.15221,0.0284258,0.0665598,0.179766
-73.4672,0.966765,0.208613,4,15,0,86.3327,0.198153,0.00624083,0.74993,0.00703901,0.232238,0.313974,0.405939,0.092829,0.214575,0.203295,0.267297,0.195991,0.0167006,0.047789,0.0076256,0.0569203,0.197167,0.0952192,0.10563,0.0142838,0.209813,0.418429,0.331872,0.431862,0.0980974,0.0494523,0.1557,0.0742636,0.0848793,0.158103
-70.0955,1,0.208613,4,15,0,88.3556,0.266661,0.0201049,0.445257,0.0462298,0.0939172,0.0463576,0.000520364,0.0215166,0.0409444,0.0328403,0.278858,0.058639,0.0602492,0.0938117,0.0718971,0.119737,0.399989,0.0814356,0.0801231,0.181242,0.318884,0.592001,0.101917,0.00422847,0.208512,0.0339413,0.219857,0.225937,0.312267,0.212765
-68.9894,0.989634,0.208613,4,31,0,83.5067,0.188911,0.00402609,0.753198,0.0018093,0.269253,0.342107,0.00210345,0.0596914,0.10522,0.190813,0.254038,0.126704,0.159235,0.0778708,0.0664955,0.00443372,0.192917,0.0465703,0.10388,0.0244797,0.189112,0.4985,0.150339,0.0188344,0.314665,0.294705,0.130172,0.129767,0.0396144,0.150729
-71.4541,0.963728,0.208613,4,31,0,84.8572,0.285075,0.0135093,0.73799,0.00499634,0.12683,0.0925957,0.0058828,0.0417227,0.125735,0.0519871,0.225977,0.184774,0.200442,0.0914966,0.0575612,0.00514258,0.313744,0.01767,0.0876219,0.103433,0.368315,0.191766,0.320088,0.120391,0.273698,0.0520664,0.0284463,0.409467,0.00418668,0.227457
-73.201,0.960286,0.208613,5,31,0,89.4626,0.264214,0.383038,0.680413,0.185319,0.150835,0.0203962,0.0141585,0.0298181,0.103707,0.102659,0.18513,0.19777,0.139901,0.106154,0.0534395,0.00749209,0.0472337,0.0249084,0.08577,0.104454,0.336664,0.859422,0.266227,0.12636,0.269419,0.0450165,0.00743034,0.309626,0.00256137,0.210812
-67.3184,0.960164,0.208613,4,15,0,88.8849,0.293147,0.0754916,0.713675,0.0319912,0.156691,0.00579691,0.0129926,0.0202861,0.408499,0.0578894,0.290486,0.172337,0.236245,0.134282,0.0269769,0.117858,0.0424515,0.0562246,0.103235,0.0601158,0.245064,0.616552,0.257573,0.0992524,0.262637,0.0470214,0.0131776,0.0836038,0.00939417,0.233898
-65.4534,0.951621,0.208613,4,15,0,86.0578,0.297424,0.0673544,0.804868,0.0312506,0.203962,0.0844987,0.314913,0.0817386,0.0391775,0.0376069,0.341329,0.0238671,0.110649,0.0408187,0.0791271,0.0380166,0.0480481,0.160951,0.0493356,0.100383,0.12545,0.665932,0.0888192,0.207908,0.217448,0.0141482,0.202793,0.168084,0.00361972,0.23731
-62.1556,0.978804,0.208613,4,15,0,78.7835,0.205612,0.207694,0.762229,0.0147869,0.103027,0.0336042,0.0446413,0.0434898,0.0547098,0.0764714,0.320722,0.069642,0.0277112,0.140045,0.0752635,0.0525206,0.137568,0.113125,0.0377135,0.102405,0.0661023,0.681458,0.476935,0.162456,0.251003,0.0606791,0.154595,0.240575,0.0334374,0.164055
-60.7658,0.811261,0.208613,4,15,0,76.5354,0.298379,0.147535,0.76692,0.0486156,0.128325,0.417912,0.103718,0.0707951,0.287271,0.0993627,0.326312,0.274066,0.0643259,0.00145752,0.0684318,0.0276245,0.463994,0.134738,0.123379,0.00702899,0.116739,0.544627,0.031354,0.189862,0.275406,0.301082,0.13143,0.183388,0.203594,0.238072
