# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=5
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 6a_skewnormal_uni - draws_5.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.127123
# Diagonal elements of inverse mass matrix:
# 0.00368342, 1.10744, 0.253985, 0.412462, 0.344183, 0.509751, 0.453686, 0.50495, 0.379719, 0.558642, 0.348769, 0.352917, 0.346116, 0.305476, 0.507581, 0.463273, 38.7015
-1.03376,0.911305,0.127123,5,31,0,6.61898,0.0137194,0.10208,0.195626,0.478714,0.0591488,0.692566,1.10429,0.215514,0.294953,0.417519,0.273438,0.764338,0.62362,0.346547,0.483159,0.136136,11.3455,0.0336888,0.0625864,0.0197573,0.0844164,0.126445,0.0357191,0.0438281,0.0563396,0.0416319,0.0917428,0.0773783,0.0490948,0.0630402,0.0276162,0.0948527
-1.30161,0.993795,0.127123,5,31,0,7.22179,-0.138577,0.178374,0.853862,1.65506,0.506078,1.83657,0.520368,1.38402,0.601754,1.29266,0.261532,0.224274,0.578673,0.443137,1.02638,0.313566,7.65862,0.0137299,0.156643,-0.0483058,0.189021,-0.0457568,0.108297,-0.0312397,0.0920004,-0.0919265,-0.0985724,-0.0353567,-0.0595329,0.0445024,-0.0826451,0.00254713
-2.05163,0.980092,0.127123,5,31,0,9.62428,0.0260617,0.0598572,0.281541,1.10103,0.0488167,0.580434,0.628001,0.93595,0.233795,1.03458,0.247364,0.735002,-0.0159714,0.0547075,0.203815,0.656532,10.155,0.042914,0.091966,0.0289837,0.0608049,0.0636521,0.082085,0.040056,0.0879887,0.0408682,0.0700568,0.0251057,0.0293363,0.0382615,0.0653599,0.0735909
-4.1295,0.970641,0.127123,4,15,0,9.32576,-0.0556167,0.122646,0.206567,1.07786,0.805451,0.66121,0.837793,1.15695,1.10172,0.445523,0.31843,0.463334,0.972818,0.843223,0.851052,1.70589,3.81779,-0.0302821,0.0765782,0.0431686,0.025478,0.0471352,0.0862786,0.079505,-0.000975109,-0.0165626,0.00120933,0.0636954,0.0478011,0.0487613,0.153604,0.0390471
-2.82572,0.93617,0.127123,5,31,0,10.0576,-0.0374627,0.0539657,0.550579,0.508197,0.167934,0.689151,0.148779,1.26491,0.0293038,1.65597,0.611072,0.427022,0.535738,0.275186,0.672359,0.174418,9.96657,-0.00775035,-0.0100375,-0.0284001,-0.000272209,-0.0294338,0.0307992,-0.0358813,0.0519029,-0.0044858,-0.0144182,-0.00855129,-0.0226122,-0.00117841,-0.0280502,0.00538055
-1.44612,0.992061,0.127123,4,15,0,7.49981,0.00340022,0.0646401,0.217926,0.520671,0.613389,0.598082,0.0836767,1.08718,0.335012,1.44977,0.539957,0.083546,0.857554,0.270058,0.832879,0.323963,11.3523,0.017487,0.0370564,0.0430497,0.0420603,0.00880909,0.0736757,0.0250554,0.0971132,0.0383031,0.00880064,0.0588326,0.0208568,0.0572375,0.0243412,0.0547766
-2.60475,0.964699,0.127123,4,15,0,8.31616,-0.0745963,0.153567,0.257513,1.63805,0.595936,0.153426,1.13734,1.27312,0.422181,0.0625908,0.292811,0.50857,0.138262,0.145326,0.0582587,0.175343,11.7868,-0.0350508,0.176954,0.0169199,-0.0510352,0.100062,0.120913,-0.00976322,-0.0649844,-0.0296301,0.00350331,-0.0533639,-0.0522791,-0.0656497,-0.0476693,0.047494
-3.10705,0.935193,0.127123,5,31,0,8.28144,-0.00989813,0.0856491,0.144621,0.119159,0.314421,0.448253,0.133181,0.634198,0.0910017,2.07517,1.56682,0.178452,0.384817,0.216773,1.27154,0.242349,14.341,0.00248851,0.00030775,0.0170318,0.0284944,0.00150869,0.0444204,-0.00210391,0.167838,0.124299,0.00538614,0.0230611,0.0086683,0.099008,0.0108589,0.0582745
0.396881,0.974529,0.127123,4,15,0,9.42975,-0.0321953,0.167464,0.14696,0.901071,0.204551,0.343601,0.731091,0.90669,0.290714,1.57912,0.691715,0.612411,0.578476,0.358743,1.41944,0.19224,9.64179,-0.00758478,0.118701,0.00205958,0.0253454,0.0902359,0.119642,0.0164887,0.232251,0.0836419,0.0703613,0.0646784,0.0278812,0.20551,-2.05342e-06,0.100709
-4.81123,0.957326,0.127123,4,15,0,8.84515,-0.0513863,0.0943939,0.697381,0.403168,1.63709,1.51648,0.45679,1.09256,0.277881,1.46398,1.15554,0.928553,0.711571,0.194719,0.214535,0.632106,6.36154,0.0144422,-0.0133297,0.103145,0.0917601,-0.00826811,0.0517451,-0.025156,0.0868046,0.05769,0.0362634,0.0157817,-0.0330059,-0.0311354,0.0082807,0.0230156
