# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=10
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/height (cm) - 5a_halfnormal_uni - draws_10.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.116494
# Diagonal elements of inverse mass matrix:
# 0.957982, 2.26481, 2.03558, 2.22306, 1.97034, 2.09719, 2.26175, 2.41317, 2.22351, 2.13065, 2.09964, 1.80043, 2.00385, 2.2107, 2.23052, 2.04278, 2.19819, 2.06979, 2.11362, 1.90661, 1.9988, 2.12954, 2.27277, 2.17701
-38.8914,0.699276,0.116494,4,31,0,49.1851,0.0976114,0.028223,0.0647877,0.0721422,0.0163087,0.00965818,0.105876,0.0299832,0.0577477,0.0159348,0.0938015,0.0895844,0.0878742,0.0479013,0.0821956,0.0246384,0.00378989,0.153834,0.012822,0.0745414,0.00811135,0.0589214,0.111608,0.077922,0.0778826
-39.0556,0.959404,0.116494,4,31,0,50.3388,0.0917444,0.0214643,0.0474836,0.0521534,0.0187079,0.0121528,0.0969587,0.0308691,0.0678865,0.00889207,0.121931,0.113581,0.109938,0.0330984,0.106592,0.0330155,0.00360249,0.0674265,0.0146201,0.104374,0.00946646,0.0359627,0.0912885,0.0551388,0.0732015
-40.9888,0.978793,0.116494,5,31,0,52.764,0.100576,0.244792,0.0320754,0.156489,0.188734,0.145219,0.00196805,0.0171489,0.115131,0.00143971,0.056651,0.102391,0.0135598,0.0816664,0.049066,0.0600744,0.113934,0.160858,0.143563,0.146917,0.0744523,0.0401013,0.163683,0.055978,0.0802478
-40.2961,0.986353,0.116494,5,31,0,51.1805,0.0583775,0.0042722,0.0122903,0.053881,0.00692171,0.0151482,0.0216056,0.103663,0.0502777,0.00269206,0.0443512,0.0591687,0.0820918,0.0270267,0.086148,0.0569847,0.0158761,0.00362766,0.0182938,0.0814226,0.0297712,0.0228573,0.0644768,0.0936359,0.0465786
-39.5192,0.967414,0.116494,5,31,0,54.8245,0.123685,0.00955275,0.00829275,0.123359,0.0154144,0.150491,0.0243879,0.168949,0.111185,0.0123056,0.228288,0.120886,0.124917,0.0362963,0.120832,0.0724676,0.148835,0.0206708,0.0699814,0.165339,0.0342104,0.00842168,0.147837,0.161308,0.0986864
-44.1883,0.703406,0.116494,5,31,0,55.086,0.134554,0.377887,0.092001,0.0753856,0.0140193,0.0309308,0.00056659,0.132542,0.04893,0.104575,0.00623968,0.120942,0.00767552,0.0682179,0.217373,0.0568207,0.0868343,0.046429,0.0318612,0.185358,0.0820138,0.0210537,0.309509,0.158879,0.107359
-40.2999,0.973095,0.116494,4,15,0,52.2446,0.0667152,0.0105048,0.0603473,0.123132,0.105219,0.0896578,0.00154077,0.0237376,0.0536073,0.0745704,0.00266858,0.0621753,0.00299353,0.0925431,0.0415892,0.0522427,0.0745502,0.104246,0.0994652,0.121203,0.0355383,0.0188487,0.0252263,0.040664,0.0532311
-41.1845,0.910196,0.116494,5,31,0,49.6251,0.086122,0.17822,0.0616681,0.0448514,0.0319207,0.0334727,0.000391526,0.0973702,0.0865461,0.0540534,0.124543,0.0480678,0.00271489,0.0540365,0.118117,0.0390773,0.0514594,0.061947,0.0237646,0.131638,0.0835354,0.00182448,0.149987,0.0348584,0.0687155
-37.9277,0.781747,0.116494,5,31,0,51.4717,0.0782086,0.0346823,0.0825443,0.171905,0.0968655,0.0306254,0.00946067,0.0060004,0.0738944,0.0314162,0.04908,0.0898801,0.0164461,0.143671,0.092083,0.0509646,0.0939212,0.089096,0.154142,0.0630549,0.0468785,0.00737942,0.0584972,0.0455032,0.0624015
-37.1415,0.996656,0.116494,4,15,0,43.6427,0.080005,0.0189625,0.096395,0.109235,0.0646485,0.0469919,0.00923451,0.00492677,0.0496231,0.0261803,0.0781642,0.0713415,0.0152496,0.117114,0.084185,0.0392595,0.0440434,0.100272,0.137884,0.069993,0.048244,0.00598514,0.0573592,0.0926341,0.0638348
-42.6267,0.969353,0.116494,4,15,0,51.5709,0.16399,0.23762,0.0479066,0.122642,0.118974,0.00900009,0.00933005,0.00521853,0.0163276,0.116285,0.169996,0.129813,0.038568,0.0942845,0.0460586,0.0939758,0.238804,0.0774121,0.0350506,0.220143,0.0359722,0.0078298,0.0843339,0.123956,0.130845
-42.9819,0.928094,0.116494,4,15,0,56.6532,0.0931309,0.0111963,0.0764535,0.127483,0.0720888,0.00272742,0.0458252,0.00925263,0.0228591,0.00399904,0.0397222,0.0273626,0.121815,0.130591,0.102174,0.134665,0.0141149,0.207561,0.153896,0.0769472,0.0503275,0.188631,0.160175,0.108865,0.0743078
-42.5983,0.950788,0.116494,4,31,0,52.9979,0.0860792,0.0122833,0.14343,0.122589,0.0720042,0.0132559,0.13659,0.0240909,0.00888163,0.0188444,0.0538587,0.00792729,0.0271436,0.0903471,0.162325,0.125783,0.00194393,0.0874895,0.0500642,0.231012,0.0313169,0.0230782,0.0959767,0.0507153,0.0686813
-40.478,0.974601,0.116494,4,15,0,53.9764,0.066843,0.00621888,0.0209445,0.0510958,0.0565009,0.00411034,0.0216561,0.0646515,0.141772,0.0793011,0.040744,0.10114,0.0102879,0.0520828,0.0100279,0.0414398,0.00658252,0.0187754,0.0750815,0.0295978,0.0770347,0.0450584,0.0718006,0.0373058,0.053333
-38.7214,0.977331,0.116494,4,31,0,50.8509,0.0609123,0.0163271,0.0257552,0.126254,0.0221088,0.00188355,0.0205133,0.0799642,0.033555,0.0963942,0.0222121,0.0651059,0.0432291,0.100453,0.024078,0.0429759,0.0275147,0.0176539,0.0440297,0.0189394,0.0382972,0.0235359,0.0884864,0.0182111,0.048601
-40.4759,0.951673,0.116494,5,31,0,51.3567,0.0611348,0.0231121,0.0806762,0.0111946,0.0409978,0.0299464,0.012577,0.0115275,0.0690393,0.019533,0.107747,0.0470224,0.0191217,0.0175557,0.00510941,0.0530993,0.028523,0.0186444,0.011894,0.120996,0.0482442,0.114438,0.00985145,0.0995644,0.0487786
-48.7635,0.916483,0.116494,5,31,0,57.8677,0.211479,0.00633735,0.0760213,0.314376,0.0070023,0.178204,0.334677,0.244315,0.166484,0.0146703,0.0490821,0.0331415,0.0627714,0.375632,0.344364,0.175427,0.0969201,0.127335,0.0909536,0.250716,0.00398473,0.00741054,0.236687,0.00579382,0.168736
-47.9044,0.96694,0.116494,4,15,0,56.6396,0.203553,0.0105073,0.10957,0.452408,0.00993261,0.104445,0.150035,0.365326,0.197416,0.0138068,0.043372,0.0385039,0.0596714,0.335996,0.204093,0.104649,0.0876199,0.134769,0.124936,0.261569,0.00253553,0.0054474,0.115982,0.0104757,0.162412
-48.1061,0.931396,0.116494,5,31,0,61.6486,0.0855567,0.0308053,0.0315887,0.00295583,0.0853465,0.0678905,0.0346052,0.00341642,0.0148834,0.209559,0.173994,0.101454,0.0236306,0.00549371,0.0231097,0.0924365,0.0703836,0.106286,0.00218307,0.220579,0.00449475,0.139616,0.165278,0.142318,0.0682644
-46.3133,0.91256,0.116494,4,15,0,57.6511,0.167874,0.0534379,0.0880045,0.00557819,0.0983937,0.0272249,0.0475157,0.00620286,0.0389861,0.123835,0.156249,0.118418,0.0891686,0.00970258,0.0324356,0.102864,0.0557067,0.081887,0.00584073,0.108478,0.00541333,0.137528,0.119631,0.287527,0.133944
-38.2181,0.931846,0.116494,4,15,0,57.8239,0.12825,0.0503997,0.0888943,0.0464675,0.138868,0.0339562,0.0765745,0.0271781,0.0620167,0.0271872,0.109401,0.0126906,0.0638517,0.0170385,0.178414,0.158287,0.140399,0.149335,0.00311884,0.182319,0.0161767,0.0675892,0.15275,0.0637138,0.102329
-45.023,0.957565,0.116494,5,47,0,53.3033,0.0835994,0.0078049,0.0492956,0.180189,0.0294796,0.0514059,0.0629604,0.169287,0.0101566,0.00227281,0.030153,0.214795,0.118774,0.00556691,0.0886163,0.028671,0.0311542,0.105736,0.0666931,0.0510035,0.101459,0.120738,0.0124552,0.118888,0.0667027
-44.651,0.993604,0.116494,5,31,0,56.6728,0.0461283,0.00490852,0.0521326,0.0103774,0.0731713,0.0455867,0.0038661,0.0209371,0.0854611,0.130977,0.0331863,0.00292883,0.00794437,0.0119354,0.059839,0.0269056,0.0274222,0.0547281,0.0511439,0.064105,0.0155488,0.00268803,0.0983037,0.0330786,0.036805
-41.2672,0.997792,0.116494,5,31,0,52.1269,0.0953697,0.263292,0.0238676,0.0589173,0.124772,0.102864,0.0128799,0.0583699,0.0344965,0.0144807,0.0766276,0.0238536,0.0373961,0.0230761,0.0998628,0.073599,0.0638675,0.126319,0.0966257,0.107801,0.00635762,0.00161984,0.209566,0.0985257,0.076094
-44.04,0.988832,0.116494,5,31,0,52.3324,0.134757,0.0160885,0.0341885,0.158701,0.0427715,0.0587876,0.0110003,0.124932,0.193936,0.00649091,0.12206,0.214984,0.0263529,0.239767,0.0692724,0.11989,0.0924194,0.0447903,0.0576569,0.0886789,0.0354282,0.00191009,0.0253909,0.098508,0.10752
-40.4788,0.998201,0.116494,4,31,0,52.3517,0.0903638,0.0123659,0.0636934,0.120305,0.0228014,0.189458,0.0142606,0.128954,0.175136,0.00774666,0.103704,0.0922999,0.0274647,0.196913,0.0588294,0.079284,0.135454,0.0640416,0.121235,0.112374,0.0283405,0.00393644,0.0292132,0.0921367,0.0720999
-40.7575,0.929213,0.116494,4,31,0,48.7361,0.124864,0.0132408,0.0428575,0.12696,0.0382195,0.10032,0.0212078,0.0516425,0.211351,0.0119426,0.205586,0.112786,0.0187847,0.110814,0.0543238,0.117115,0.130802,0.0638804,0.0846618,0.124367,0.0351271,0.00236027,0.0266249,0.0486285,0.0996275
-41.0929,0.95375,0.116494,4,15,0,55.4975,0.129915,0.243982,0.139397,0.157098,0.019933,0.0282255,0.0415875,0.260727,0.084789,0.00380792,0.0918211,0.0585468,0.250777,0.0692515,0.122964,0.163889,0.0671336,0.0867479,0.0883267,0.209398,0.0508926,0.00288699,0.01761,0.050416,0.103657
-40.8553,0.989018,0.116494,5,31,0,49.7787,0.14504,0.0388907,0.0651837,0.12172,0.0832272,0.0951393,0.130883,0.0452307,0.0726559,0.363641,0.126661,0.143986,0.0196218,0.149003,0.0547426,0.0534728,0.118686,0.161996,0.0744135,0.17857,0.0167049,0.00239882,0.00525751,0.182016,0.115725
-35.1977,0.985921,0.116494,4,15,0,49.6213,0.161254,0.251357,0.12636,0.16846,0.124201,0.101463,0.0520316,0.137943,0.140332,0.00677108,0.110429,0.0912394,0.187689,0.0325782,0.0895968,0.0551625,0.0495102,0.179068,0.0181134,0.192439,0.106593,0.195046,0.163127,0.0241604,0.128663
-42.0917,0.954069,0.116494,4,15,0,47.1919,0.131645,0.0392617,0.0711469,0.0218135,0.0711019,0.101833,0.15802,0.110203,0.0357209,0.00193963,0.0609469,0.0903388,0.0437961,0.00511855,0.230134,0.187812,0.127558,0.10496,0.230055,0.196928,0.0572047,0.0342268,0.221107,0.370971,0.105037
-40.737,0.953701,0.116494,5,47,0,53.2114,0.0969172,0.0471711,0.0479904,0.0352302,0.0574859,0.068004,0.0947833,0.0810669,0.184244,0.157945,0.0196324,0.178007,0.0395757,0.0035827,0.158853,0.197724,0.171287,0.0669837,0.00190316,0.139973,0.054745,0.0173237,0.0585454,0.0391758,0.0773288
-46.4228,0.985498,0.116494,4,15,0,53.7978,0.164838,0.406043,0.233864,0.0536876,0.252385,0.134638,0.0509606,0.051057,0.0995556,0.13362,0.0114649,0.0583817,0.134166,0.00311733,0.0558039,0.0928785,0.0785421,0.353547,0.00308444,0.172348,0.145054,0.0510577,0.014479,0.272472,0.131522
-39.1962,0.840094,0.116494,4,31,0,60.4614,0.104478,0.0267108,0.05514,0.192737,0.0430088,0.0862561,0.120446,0.182175,0.132287,0.0368257,0.021369,0.104243,0.0254996,0.000585335,0.0353557,0.0785322,0.0450901,0.0751642,0.0188965,0.0429515,0.0471555,0.110468,0.11441,0.0771505,0.083361
-40.5687,0.970953,0.116494,4,31,0,50.9278,0.0821758,0.0495337,0.111321,0.0290011,0.028879,0.076286,0.0407495,0.0348114,0.0492858,0.138501,0.00158447,0.0784934,0.157137,0.0182806,0.1763,0.112807,0.00429297,0.12224,0.0253427,0.0263447,0.0766164,0.0363263,0.105986,0.104937,0.0655668
