# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=12
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/mid-upper arm circumference (cm) - 5a_halfnormal_uni - draws_12.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.285753
# Diagonal elements of inverse mass matrix:
# 0.158339, 1.3869, 1.23185, 1.0209, 0.817091, 0.59902, 0.0337314, 0.761084, 1.35671
-24.8013,0.924999,0.285753,3,15,0,28.1778,0.1798,0.00503389,0.0287973,0.00193117,0.656574,0.0890183,0.339113,0.147727,0.0443816,0.143459
-24.7038,1,0.285753,3,7,0,29.36,0.303194,0.0121332,0.364839,0.00295657,0.022145,0.14941,0.376094,0.0267185,0.207061,0.241914
-20.3789,0.875365,0.285753,4,15,0,29.5835,0.159333,0.0586424,0.0405544,0.273734,0.0121365,0.0511996,0.427866,0.107616,0.197091,0.127129
-20.8063,0.918783,0.285753,4,15,0,25.056,0.162862,0.0442885,0.167489,0.0454454,0.0334735,0.210525,0.297759,0.0228617,0.101454,0.129945
-18.8553,0.98606,0.285753,4,23,0,23.7442,0.508517,0.0425098,0.0894596,0.122438,0.41452,0.0256735,0.425561,0.203507,0.221325,0.405738
-17.1022,0.994737,0.285753,4,15,0,19.9352,0.457645,0.0913837,0.183068,0.119285,0.962259,0.0322172,0.36827,0.0952568,0.309959,0.365148
-19.0366,0.962894,0.285753,3,7,0,22.1269,0.288506,0.147946,0.382715,0.12989,0.323587,0.0348037,0.394943,0.21501,0.56446,0.230195
-17.1619,0.973335,0.285753,3,7,0,20.8957,0.325301,0.0152779,0.035014,0.193561,0.516117,0.134391,0.417417,0.0346553,0.0602878,0.259553
-17.8113,0.912822,0.285753,3,15,0,21.5822,0.355625,0.0137981,0.0483076,0.229638,0.456318,0.203012,0.43781,0.0415071,0.0955032,0.283748
-17.3027,0.994145,0.285753,4,15,0,20.3337,0.26079,0.130944,0.110802,0.156215,0.436724,0.102291,0.350715,0.19141,0.010968,0.20808
-18.5565,0.757903,0.285753,2,3,0,25.198,0.24737,0.0520935,0.305371,0.376617,0.348383,0.0715255,0.389161,0.110274,0.00485636,0.197373
-21.3591,0.376605,0.285753,3,7,0,26.8531,0.229739,0.0674842,0.0042781,0.040647,0.276654,0.165686,0.316933,0.0586081,0.0099332,0.183305
-18.2624,0.982586,0.285753,4,15,0,23.926,0.168574,0.0480449,0.285859,0.0573836,0.0758599,0.145352,0.342389,0.054736,0.36401,0.134503
-18.3132,0.965967,0.285753,3,15,0,21.157,0.196966,0.0559121,0.0231787,0.207016,0.458193,0.0368565,0.349517,0.0924247,0.0221037,0.157156
-20.8539,0.493195,0.285753,3,7,0,27.4893,0.422355,0.0405523,0.0487309,0.20063,0.129791,0.145342,0.406938,0.0230785,0.0314223,0.336991
-17.6222,0.925094,0.285753,3,7,0,23.759,0.505456,0.103033,0.184995,0.198621,0.869298,0.0895216,0.403403,0.25427,0.152331,0.403295
-17.4858,0.98291,0.285753,3,7,0,22.6066,0.499574,0.112695,0.173742,0.317832,1.05468,0.111633,0.430721,0.234561,0.293868,0.398603
-17.7575,1,0.285753,4,15,0,20.8239,0.145708,0.0100924,0.0436567,0.080813,0.19284,0.136438,0.336795,0.0249982,0.243544,0.116258
-18.9372,0.968146,0.285753,3,15,0,21.0747,0.422648,0.171973,0.262804,0.320606,0.458059,0.0992383,0.415915,0.0222148,0.0421393,0.337225
-18.4333,0.981872,0.285753,4,15,0,22.498,0.139354,0.00530649,0.0304403,0.0389132,0.153222,0.075524,0.314907,0.0552546,0.13851,0.111188
-22.4517,0.982228,0.285753,4,23,0,24.4921,0.166031,0.000253297,0.00995072,0.210982,0.131129,0.12394,0.276244,0.142593,0.0690822,0.132473
-22.5796,0.909406,0.285753,4,15,0,26.53,0.142114,0.000334334,0.0105474,0.168509,0.120118,0.084121,0.290514,0.184004,0.080066,0.11339
-22.2011,0.965523,0.285753,4,15,0,27.5503,0.132464,0.000377079,0.0253649,0.123001,0.347683,0.101509,0.290724,0.111414,0.0220276,0.105691
-20.4828,0.88155,0.285753,4,15,0,25.2461,0.176585,0.000646516,0.0402641,0.226965,0.186008,0.181366,0.317101,0.151891,0.04178,0.140894
-19.106,0.992468,0.285753,4,15,0,24.7222,0.237193,0.000289903,0.0799688,0.119827,0.423364,0.0792034,0.454377,0.101318,0.107883,0.189253
-18.9965,0.994646,0.285753,4,15,0,20.8428,0.263998,0.000437544,0.359571,0.106761,0.378474,0.166922,0.361684,0.0624879,0.285237,0.21064
-21.9449,0.405794,0.285753,4,15,0,28.9239,0.178506,0.167419,0.000839423,0.116989,0.139173,0.0757782,0.360533,0.0335254,0.0818914,0.142427
-19.4699,0.994682,0.285753,4,15,0,26.44,0.189331,0.00924355,0.0082052,0.0469078,0.236627,0.132121,0.250917,0.113137,0.193827,0.151064
-18.2509,0.915387,0.285753,3,7,0,21.7841,0.175883,0.0161165,0.0097104,0.0545988,0.27486,0.0482491,0.318076,0.102457,0.108982,0.140334
-17.35,0.970175,0.285753,3,15,0,20.5376,0.258942,0.0345336,0.0201256,0.09943,0.40112,0.0658817,0.357009,0.0381701,0.0824649,0.206606
-18.3173,0.991766,0.285753,4,15,0,22.2503,0.275948,0.0355917,0.0393825,0.174493,0.391698,0.0702548,0.382506,0.00643447,0.0932283,0.220175
-19.1136,0.879117,0.285753,3,7,0,26.0637,0.144125,0.0894676,0.242752,0.0500292,0.113543,0.144424,0.247973,0.172676,0.0615898,0.114995
-21.1518,0.986666,0.285753,3,15,0,22.8472,0.10827,0.014854,0.0420311,0.0204757,0.201125,0.0781314,0.224601,0.0288413,0.0416493,0.086387
-20.6299,0.942919,0.285753,4,15,0,24.6334,0.153937,0.0346346,0.0834682,0.0191159,0.0998117,0.132158,0.290826,0.00768915,0.30051,0.122824
-19.3259,0.988626,0.285753,4,31,0,24.1214,0.585477,0.0167565,0.238637,0.0269475,0.657334,0.145192,0.399535,0.259813,0.638581,0.467144
-18.4104,0.994152,0.285753,3,7,0,21.9353,0.671407,0.0156407,0.250585,0.0237749,0.829438,0.136255,0.416871,0.067665,1.12662,0.535706
-18.5136,0.768833,0.285753,3,7,0,21.4742,0.671509,0.0138785,0.220468,0.0355642,1.02886,0.145106,0.427965,0.0808896,0.267225,0.535787
-19.027,0.994235,0.285753,4,15,0,22.8851,0.124658,0.00754906,0.117233,0.0152629,0.146071,0.101989,0.381083,0.0566463,0.204091,0.099463
-17.4816,0.986911,0.285753,4,15,0,22.3472,0.179191,0.165196,0.0501141,0.0524458,0.180012,0.0741918,0.385597,0.0869329,0.0618061,0.142974
-16.8447,0.99511,0.285753,3,15,0,19.842,0.149629,0.0173219,0.119609,0.0969151,0.106384,0.0705191,0.358189,0.0346175,0.0865868,0.119387
-16.1198,0.972406,0.285753,3,7,0,19.6884,0.211384,0.025791,0.0282173,0.25799,0.282296,0.170907,0.329501,0.173537,0.257984,0.16866
-18.221,0.837796,0.285753,4,15,0,19.7895,0.163832,0.0725435,0.0754344,0.0144109,0.276733,0.0390947,0.408021,0.0565218,0.112593,0.130719
-18.2905,0.9494,0.285753,3,15,0,23.7234,0.151649,0.0890182,0.142189,0.023898,0.234651,0.0451374,0.435776,0.0525765,0.160586,0.120998
-19.9223,0.765574,0.285753,3,7,0,26.4488,0.323849,0.0349862,0.183514,0.0282263,0.272912,0.0659847,0.270076,0.0236388,0.208644,0.258395
-22.4732,0.52973,0.285753,3,15,0,28.505,0.177484,0.0391236,0.166791,0.0393293,0.016928,0.186878,0.206855,0.0653177,0.181671,0.141611
-23.1358,0.790153,0.285753,4,15,0,30.2357,0.190807,0.0212203,0.0341378,0.159351,0.0195053,0.161724,0.191511,0.052216,0.191645,0.152242
-19.7175,0.95926,0.285753,4,15,0,25.0148,0.793356,0.024411,0.200061,0.0765305,0.539973,0.197501,0.462092,0.0704463,0.186123,0.633006
