# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=1
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/weight (kg) - 6a_skewnormal_uni - draws_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_raw.14,theta_raw.15,theta_raw.16,theta_raw.17,theta_raw.18,theta_raw.19,theta_raw.20,theta_raw.21,theta_raw.22,theta_raw.23,theta_raw.24,theta_raw.25,theta_raw.26,theta_raw.27,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.17673
# Diagonal elements of inverse mass matrix:
# 0.00440844, 0.0540136, 0.0715543, 0.262572, 0.0362929, 0.049918, 0.11691, 0.0814523, 0.0548653, 0.177502, 0.0808654, 0.135993, 0.116766, 0.11376, 0.0383139, 0.0353648, 0.10872, 0.223878, 0.0875414, 0.107059, 0.0506656, 0.40806, 0.258431, 0.0876658, 0.104857, 0.0841683, 0.0822527, 0.0691389, 0.264086, 0.383022, 30.964
-12.7251,0.88255,0.17673,4,15,0,25.6047,-0.207733,0.441708,0.571763,1.83284,0.647551,0.891221,1.03701,0.540252,0.186374,0.801094,0.552726,1.14994,0.518651,0.693349,0.579551,0.427623,0.186111,0.76497,0.545562,-0.00908974,0.937049,0.54862,2.23612,1.05823,0.405717,1.1662,0.309444,0.47327,0.602627,1.45398,6.24584,0.0448194,0.601847,0.0782958,0.185927,0.250323,0.030901,-0.12541,0.146117,0.0364107,0.300205,0.0213596,0.098525,0.0482595,-0.0188481,-0.125526,0.130161,0.0332463,-0.211748,0.206169,0.034597,0.779979,0.259695,-0.0285241,0.307386,-0.0710491,0.00131444,0.0584522,0.434503,0.140267
-12.4471,0.731222,0.17673,4,15,0,30.9221,-0.242311,0.503139,0.861943,1.94068,0.108308,0.584368,0.533082,0.560481,-0.0117334,0.552519,0.529971,0.984513,0.534716,0.711553,0.569832,0.589591,0.199997,1.3464,0.549526,0.532698,0.0459512,1.61724,1.67663,0.801937,0.736934,0.783761,1.00535,0.96728,0.51438,2.00669,8.87905,0.191366,0.734122,-0.187817,0.0517073,0.0259035,0.0396889,-0.248215,0.0356829,0.0243382,0.253036,0.0267253,0.115699,0.0443935,0.0543353,-0.141685,0.435115,0.034177,0.0257102,-0.219191,0.571388,0.601267,0.161175,0.128469,0.15203,0.263522,0.244365,0.0164935,0.767334,0.156614
-8.88317,0.954981,0.17673,4,15,0,25.9305,-0.214457,0.512864,0.566575,2.32749,0.143374,0.816866,0.487177,0.663872,0.00198094,0.571564,0.360683,0.92348,0.825008,0.707809,0.412481,0.446486,0.415267,0.935361,0.600228,0.584441,0.39371,1.81484,1.90944,0.732633,1.11102,0.763761,0.895433,0.409631,0.720084,0.672403,12.6384,0.0761186,0.97923,-0.140926,0.204484,0.035398,0.126018,-0.213441,0.0786773,-0.029476,0.259162,0.208659,0.148552,-0.0029107,0.014529,-0.00148219,0.265255,0.0933777,0.085281,-0.0125378,0.716306,0.764825,0.161284,0.355344,0.177248,0.244778,-0.00437258,0.154848,0.130394,0.193474
-11.2017,0.954181,0.17673,4,15,0,23.9559,-0.169264,0.457722,0.685444,2.07542,0.214991,0.714685,0.789536,1.185,0.320027,0.545637,0.700617,0.890493,0.38252,0.420716,0.306526,0.487453,0.151611,0.994189,0.601942,-0.0425246,0.420934,2.13676,1.7436,0.613234,0.799958,0.8431,0.333665,0.890133,0.991773,0.646957,3.49854,0.144479,0.780703,-0.0708578,0.157863,0.192124,0.373136,-0.0227809,0.0804861,0.151424,0.238334,0.0058237,0.023307,-0.0289603,0.0538538,-0.0998683,0.285798,0.106258,-0.188729,0.0234067,0.808775,0.628821,0.111427,0.196894,0.216641,-0.0165381,0.238169,0.284692,0.126862,0.181882
-9.36887,0.96197,0.17673,4,15,0,24.6256,-0.186423,0.486955,0.724054,2.10505,0.24672,0.5934,0.798025,0.26069,-0.0924257,0.0873869,0.343461,1.01286,0.245276,0.702229,0.509602,0.39608,0.354025,1.01397,0.421451,0.313034,0.940877,0.861272,2.42718,1.03308,0.659072,0.96708,0.91527,0.372424,0.630037,0.619029,13.03,0.166159,0.83864,-0.0662814,0.102536,0.202179,-0.0594785,-0.23143,-0.143869,-0.0191729,0.306793,-0.0669846,0.155531,0.0617305,0.00645029,-0.0140288,0.307333,0.0188051,-0.0339895,0.271742,0.232978,0.995503,0.316642,0.134516,0.284501,0.259272,-0.00506922,0.120377,0.115016,0.200972
-11.88,0.993029,0.17673,4,15,0,22.7876,-0.184825,0.422029,0.854869,2.52577,0.427355,0.937225,0.925909,0.582085,0.330479,0.527828,0.164912,1.11533,0.250945,0.814004,0.521629,0.583511,0.69546,0.922023,0.7226,0.461085,0.189149,0.904582,1.75934,0.878342,0.193425,1.08315,0.524302,1.00342,1.52827,2.28057,11.6272,0.175955,0.881125,-0.00446815,0.210712,0.205936,0.0608326,-0.0453529,0.0379346,-0.115227,0.285879,-0.0789182,0.158709,0.0353182,0.0614343,0.10868,0.204296,0.120134,0.009767,-0.104998,0.196936,0.557667,0.185861,-0.103194,0.272297,0.0364465,0.238646,0.460151,0.777645,0.150668
-13.4661,0.538808,0.17673,4,31,0,27.7988,-0.14565,0.439231,0.453616,2.3277,0.474867,0.616895,1.13912,0.623625,-0.0472215,0.406224,0.639883,1.29753,0.602761,1.02535,0.230808,0.529413,0.326068,1.07857,0.154601,-0.335323,0.211813,0.405752,2.01456,1.16017,0.726849,1.2258,1.04009,0.628477,0.981497,1.04362,2.62156,0.0535926,0.876751,0.0629267,0.12531,0.354687,0.128266,-0.166391,0.0327765,0.135407,0.424264,0.119102,0.304716,-0.0442714,0.0868851,-0.00243045,0.32809,-0.077744,-0.292934,-0.0526146,0.0325691,0.739209,0.363935,0.173605,0.392761,0.311188,0.130397,0.285455,0.312739,0.181793
-9.73436,0.853389,0.17673,4,15,0,24.8318,-0.0726448,0.405589,0.427352,2.27621,0.355428,0.677082,0.446703,0.653213,0.022426,0.136559,0.286871,1.00187,0.253899,0.0690361,0.425353,0.343194,0.457381,1.09544,0.511304,0.517099,0.548541,0.503459,2.51758,0.68837,0.667971,1.00173,0.673527,0.844417,0.552679,1.21641,9.86759,0.100685,0.850561,0.071513,0.201972,0.108533,0.192292,-0.063549,-0.0172579,0.0437069,0.333703,0.030334,-0.0446444,0.099874,0.066551,0.112864,0.371653,0.134735,0.137085,0.149838,0.131553,0.94846,0.206551,0.198277,0.333645,0.200531,0.269842,0.151516,0.420718,0.24932
-11.4451,0.75685,0.17673,4,15,0,29.1987,-0.159607,0.467686,0.936805,2.38765,0.342643,0.65797,0.486277,0.724146,-0.287543,0.987784,0.822717,0.699453,0.156537,0.580509,0.39048,0.393122,-0.26732,0.6188,0.559413,0.188669,0.345483,0.521191,2.38451,0.839312,0.851363,0.631673,0.307484,0.636952,0.140465,-0.127904,4.18273,0.278524,0.957063,0.0006428,0.148117,0.0678182,0.179066,-0.294087,0.302366,0.225167,0.167518,-0.0863966,0.111889,0.0230154,0.0242509,-0.284629,0.129797,0.102023,-0.071369,0.00197085,0.0841473,0.955593,0.232928,0.238564,0.135818,-0.0158007,0.138287,-0.0939133,-0.219426,0.203325
-12.1152,0.984562,0.17673,4,15,0,31.6181,-0.105391,0.401946,0.176405,1.8572,0.102998,0.639315,0.892725,0.142141,0.200052,0.431014,0.262539,1.2217,0.570022,0.534441,0.359977,0.500358,0.499799,1.35665,0.19011,0.137027,0.359985,2.32201,1.33576,0.811511,0.345957,1.2001,0.839527,0.670851,0.992029,1.3652,8.92895,-0.0344858,0.641101,-0.0639914,0.151579,0.253436,-0.048258,-0.024981,0.0678531,0.000135318,0.385667,0.123727,0.109425,0.0393001,0.0957256,0.095501,0.439909,-0.0289771,-0.0503133,0.0393035,0.827932,0.431512,0.220792,0.0336648,0.376983,0.232053,0.164255,0.293351,0.443346,0.213323
