# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=11
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/mid-upper arm circumference (cm) - 6a_skewnormal_uni - draws_11.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.059381
# Diagonal elements of inverse mass matrix:
# 0.156659, 0.21529, 0.715617, 0.580409, 0.570486, 0.876034, 0.526468, 0.64895, 0.531948, 0.853666, 95.4733
-4.89312,0.983451,0.059381,5,47,0,10.4155,0.425041,0.446502,-1.48747,-0.297733,-1.04879,-0.718393,-0.722935,-0.0830156,-0.636824,-1.52641,-18.4448,-0.23912,0.292102,-0.0432467,0.104276,0.102248,0.387974,0.140697,-0.256504,0.0693055
-4.14137,0.979528,0.059381,6,63,0,9.14705,0.70335,0.778126,-1.19877,-0.521327,-1.19213,0.444954,-0.756305,-0.42423,-0.809941,-1.10903,-0.722836,-0.229442,0.297692,-0.224281,1.04958,0.11485,0.373245,0.0731142,-0.159613,0.339642
-4.40459,0.831735,0.059381,4,31,0,7.71111,0.580854,0.474032,-1.95836,-1.21453,-0.507603,-1.06752,-0.917108,-0.330133,-0.995932,-0.875006,-10.823,-0.347471,0.00512678,0.340234,0.0748168,0.146116,0.424361,0.108751,0.166073,0.204236
-2.78013,0.986915,0.059381,4,31,0,9.55886,0.657766,0.501386,-1.58418,-0.81085,-0.901779,-0.604982,-1.16836,-0.472024,-0.974778,-0.702198,-6.16755,-0.136522,0.251218,0.205627,0.354437,0.071967,0.4211,0.169026,0.305694,0.262875
-0.504039,0.998119,0.059381,5,63,0,6.05423,0.624511,0.731751,-1.39528,-0.974249,-0.710818,-0.0445619,-0.69832,-0.241502,-0.63558,-1.73774,-7.28024,-0.396487,-0.0883965,0.104369,0.591903,0.113515,0.447792,0.159425,-0.647085,0.046089
-1.77115,0.899269,0.059381,5,63,0,4.75935,0.532745,0.515809,-1.35906,-0.734693,-0.801445,-0.227109,-0.994951,-0.427661,-0.880262,-0.412232,-3.35245,-0.168272,0.153783,0.119352,0.4156,0.0195403,0.312153,0.0786976,0.320112,0.13836
-1.79957,0.966299,0.059381,5,31,0,4.42007,0.405609,0.495899,-1.33879,-0.844333,-0.537147,-0.0524616,-0.567623,0.0570719,-0.407199,-0.999342,-3.20183,-0.258296,-0.0130955,0.139238,0.379593,0.124125,0.43391,0.203679,-0.0899642,0.0279299
-4.32288,0.851715,0.059381,5,63,0,8.71056,0.344254,0.255442,-2.02086,-0.488006,-0.302276,-0.217924,-0.79374,0.0490033,-1.00398,-0.680728,-2.01824,-0.171958,0.219597,0.26704,0.288587,0.141499,0.356771,0.0877963,0.170367,0.161629
-4.39096,0.832019,0.059381,5,31,0,11.4588,0.431165,0.384876,-2.07363,-0.441813,-0.609033,-0.63406,-0.63914,-0.0272419,-0.936157,-0.103607,-16.6565,-0.366925,0.261122,0.196763,0.18713,0.185175,0.42068,0.0708604,0.391289,0.12463
-5.83179,0.943059,0.059381,4,15,0,12.4823,0.323125,0.383281,-2.19088,-0.0998956,-0.823104,-0.2391,-0.424865,-0.107933,-0.78895,-0.265091,-16.451,-0.516598,0.284837,0.00764514,0.231483,0.160282,0.281756,0.0207356,0.221521,0.0178746
-4.03821,0.925564,0.059381,5,31,0,10.6932,0.404563,0.321995,-1.11347,-0.857493,-0.653849,-0.183792,-0.929063,0.0419735,-0.842624,-0.774165,-4.33972,0.0460298,0.128454,0.194027,0.345383,0.105409,0.418078,0.133242,0.155286,0.154209
-5.50351,0.882355,0.059381,5,31,0,9.89121,0.434765,0.685208,-0.486196,-0.81401,-0.748912,-0.0527245,-0.622972,-0.0541988,-0.652079,-0.0894231,-15.1307,0.10162,-0.123001,-0.0783951,0.398638,0.00789989,0.397628,-0.0120444,0.373492,-0.110762
-5.08236,0.972334,0.059381,4,15,0,8.21717,0.529579,0.830688,-1.5135,-0.609477,-0.375569,-0.288148,-0.489183,0.001828,-0.506751,-0.240578,-16.0282,-0.727667,0.023294,0.217598,0.290217,0.12322,0.531097,0.108627,0.329733,-0.131928
-6.17501,0.857652,0.059381,6,63,0,13.7836,0.980012,0.683698,-1.60067,-1.27851,-1.16958,-0.701375,-1.05226,-0.830786,-1.23733,-1.10104,-4.23191,-0.11436,0.105895,0.180372,0.500483,0.260587,0.412005,0.134051,0.22723,0.44912
-3.8921,0.99968,0.059381,6,63,0,10.5067,0.473721,0.324972,-1.81631,-1.28252,-1.3656,-0.461189,-0.976274,-0.40455,-1.11918,-0.304329,-4.68786,-0.116528,0.0569365,0.0299381,0.323847,0.156459,0.342253,0.11002,0.374822,0.220136
-8.63748,0.973053,0.059381,4,31,0,13.0271,0.466536,0.336035,-3.07022,-0.962878,-1.35795,-0.346318,-1.06015,0.115656,-1.25175,-0.100518,-1.98004,-0.565166,0.142976,0.0102184,0.350161,0.110288,0.505401,0.0459059,0.432759,0.227209
-8.58522,0.924266,0.059381,6,63,0,15.4519,0.342951,0.462632,-0.550344,-0.7337,-0.758328,0.302972,-0.733266,0.147536,-0.804303,0.493259,-0.627175,0.0883442,0.00351777,-0.00787615,0.483116,0.00371851,0.411206,-0.0291455,0.571148,0.146825
-6.25437,1,0.059381,4,15,0,10.4594,0.307494,0.372954,-1.14812,-0.731811,-0.699518,0.423005,-0.66043,-0.0862737,-0.656658,0.822777,-0.342561,-0.120702,0.0345618,0.0466056,0.465255,0.0611837,0.275317,0.0625906,0.614351,0.211058
-9.3912,0.948805,0.059381,5,63,0,12.8468,0.283717,0.273355,-2.28331,-0.609352,-1.23998,1.12154,-0.539522,0.795148,-0.586284,1.30384,-0.539779,-0.340437,0.117148,-0.0552377,0.590297,0.136236,0.501075,0.123454,0.640129,0.180117
-8.14015,0.955614,0.059381,6,63,0,12.286,0.301922,0.258079,-2.33864,-0.854748,-0.845385,0.943499,-0.700433,0.197719,-0.422501,1.07671,-0.846977,-0.301632,0.0813289,0.0837453,0.545419,0.121154,0.352949,0.192883,0.579798,0.168836
-5.65327,0.991305,0.059381,6,63,0,11.7543,0.148367,0.308832,-1.10156,0.302698,-0.32297,0.832282,-0.0527424,0.658919,-0.346401,-1.26983,-0.429003,-0.191829,0.24185,0.0486232,0.405402,0.132078,0.351862,0.0413871,-0.243797,0.0512177
-9.14779,0.937907,0.059381,5,31,0,10.7427,0.0756871,0.216844,-0.961628,0.101991,-0.121073,0.0365368,-0.0978804,1.70673,0.0839144,-1.59078,0.149245,-0.132836,0.0978031,0.0494331,0.0836098,0.0544623,0.44578,0.0938833,-0.269263,0.101226
-4.61774,0.962061,0.059381,6,95,0,13.3914,-0.237053,0.448783,-0.00729909,0.689851,0.940702,2.45613,0.852815,1.22038,0.736624,1.80595,2.115,-0.240329,0.0725405,0.185118,0.865216,0.145676,0.310634,0.0935315,0.573427,0.0866642
